rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
656,Digital Realty Trust,4428,0.13,1709,3.80,36370,40338,29,3030
657,TreeHouse Foods,4406,0.04,13,1.91,5207,1800,93,10000
658,Ralph Lauren,4401,0.29,121,1.32,7888,8073,208,16200
659,Mattress Firm Group,4393,0.35,165,2.31,3539,0,0,8900
660,American National Group,4392,0.16,699,0.50,31320,5084,24,4545
661,Autodesk,4386,0.16,497,0.59,8607,46580,24,12600
662,Domino's Pizza,4357,0.06,511,0.04,1672,14666,52,10450
663,ASGN,4334,0.10,410,1.05,3503,6022,41,3900
664,Flowers Foods,4331,0.01,206,0.35,3253,5439,76,8900
665,BlueLinx Holdings,4277,0.38,296,2.66,1318,700,62,2045
666,Palo Alto Networks,4256,0.25,499,0.00,10242,61308,16,10473
667,Maximus,4255,0.23,291,0.36,4119,4641,10,35800
668,Dentsply Sirona,4251,0.27,421,0.00,9220,10708,23,15000
669,Hub Group,4232,0.21,172,1.33,2437,2679,2,4700
670,Voya Financial,4230,0.54,2126,0.00,171262,7042,338,5970
670,Bread Financial Holdings,4230,0.06,801,2.75,21746,2805,101,6000
672,Weis Markets,4224,0.03,109,0.09,1911,1921,61,24000
673,Century Communities,4216,0.33,499,1.42,3497,1783,44,1600
674,Synopsys,4204,0.14,758,0.14,8752,51023,23,16361
675,Brink's,4200,0.14,105,5.58,5567,3234,25,73350
676,Lennox International,4194,0.15,464,0.30,2172,9447,23,11000
677,Service Corp. International,4143,0.18,803,0.56,15691,10581,7,20840
678,Conduent,4140,0.01,28,0.00,4036,1112,74,60000
679,Timken,4133,0.18,369,0.30,5171,4540,10,18029
680,Domtar,4132,0.11,27,0.00,4854,0,127,6100
681,Bloomin' Brands,4122,0.30,216,0.00,3294,1967,33,82000
682,CNO Financial Group,4122,0.08,441,0.46,36204,2946,50,3350
683,Snap,4117,0.64,488,0.00,7536,58458,156,5661
684,Zoom Video Communications,4100,0.55,1376,1.05,7551,35066,126,6787
685,Patrick Industries,4078,0.64,225,1.32,2651,1408,159,11000
686,Paychex,4057,0.00,1098,0.00,9227,49268,69,15000
687,Atlas Air Worldwide Holdings,4031,0.26,493,0.37,6443,2523,21,4056
688,Bright Health Group,4029,2.34,1185,0.00,3598,1214,0,3203
689,Peloton Interactive,4022,1.20,189,0.00,4486,8761,0,8662
690,Country Financial,4016,0.65,419,0.47,16327,0,164,3149
691,Qorvo,4015,0.24,734,1.19,7222,13456,14,8750
692,Catalent,3998,0.29,585,1.65,9112,19863,36,17300
693,Mercury General,3993,0.06,248,0.34,6773,3045,55,4300
694,AMN Healthcare Services,3984,0.66,327,3.63,3132,4796,168,3800
695,Tri Pointe Homes,3982,0.22,469,0.66,4336,2160,5,1390
696,ArcBest,3980,0.35,214,2.00,2113,1980,59,14000
697,Toro,3960,0.17,410,0.24,2936,8937,10,10982
698,Spirit AeroSystems Holdings,3953,0.16,541,0.00,7737,5131,14,16100
699,Align Technology,3953,0.60,772,0.57,5942,34355,151,22540
700,loanDepot,3943,0.11,114,0.94,11812,1290,117,11307
701,APi Group,3940,0.10,47,0.00,5159,4891,45,13300
702,American Water Works,3930,0.04,1263,0.78,26075,30086,62,6400
703,Matson,3925,0.65,927,3.80,3693,4928,163,4259
704,Diebold Nixdorf,3905,0.00,79,0.00,3507,531,76,22000
705,Marriott Vacations Worldwide,3890,0.35,49,0.00,9613,6620,64,20300
706,Terex,3887,0.26,221,0.00,2864,2486,29,8600
707,Sally Beauty Holdings,3875,0.10,240,1.12,2847,1721,39,29000
708,Enovis,3854,0.26,72,0.68,8515,6419,29,16200
709,IAC/InterActiveCorp,3845,0.26,598,1.22,12300,9001,31,13200
710,Meritor,3833,0.26,199,0.19,2938,2519,32,9600
711,Ventas,3828,0.01,49,0.89,24718,24676,77,434
712,GoDaddy,3816,0.15,242,0.00,7417,14019,15,6611
713,Regal Rexnord,3810,0.31,210,0.11,10282,10002,50,30000
714,Puget Energy,3806,0.14,261,0.43,15872,0,19,3185
715,Clean Harbors,3806,0.21,203,0.51,5654,6074,6,18300
716,Pinnacle West Capital,3804,0.06,619,0.12,22003,8820,59,5872
717,eXp World Holdings,3771,1.10,81,1.61,414,3149,0,1669
718,Mueller Industries,3769,0.57,469,2.36,1729,3100,143,5337
719,Wynn Resorts,3764,0.80,756,0.00,12531,9243,221,26950
720,RH,3759,0.32,689,1.53,5541,7079,57,6100
721,EPAM Systems,3758,0.41,482,0.47,3523,16871,87,58824
722,M/I Homes,3746,0.23,397,0.65,3240,1262,19,1657
723,Generac Holdings,3737,0.50,551,0.57,4878,18960,122,9248
724,Mettler0Toledo International,3718,0.21,769,0.28,3327,31220,10,16700
725,Abercrombie & Fitch,3713,0.19,263,0.00,2940,1620,1,19250
726,Teradyne,3703,0.19,1015,0.29,3809,19203,0,5900
727,American Equity Investment Life Holding,3690,0.52,474,0.29,78349,3869,130,850
728,Southwest Gas Holdings,3681,0.12,201,0.14,12765,5234,30,12720
729,Pitney Bowes,3674,0.03,1,0.00,4959,900,65,11500
730,Lamb Weston Holdings,3671,0.03,318,0.13,4209,8699,95,7800
731,Alliant Energy,3669,0.07,659,0.07,18553,15671,51,3313
732,Resolute Forest Products,3664,0.31,307,29.70,3538,992,51,6900
733,Parsons,3661,0.07,64,0.35,3831,4012,108,15500
734,Trimble,3659,0.16,493,0.26,7100,18123,14,11931
735,OGE Energy,3654,0.72,737,0.00,12606,8164,198,2185
736,Garrett Motion,3633,0.20,0,0.00,2706,464,7,7600
737,Winnebago Industries,3630,0.54,282,3.59,2063,1771,140,6532
738,Ciena,3621,0.03,500,0.38,4865,9223,72,7205
739,PriceSmart,3620,0.09,98,0.25,1706,2434,45,10400
740,Advantage Solutions,3602,0.14,55,0.00,5854,2030,22,45000
741,H&R Block,3589,0.36,684,0.00,4014,4285,70,38000
742,iHeartMedia,3558,0.21,159,0.00,8881,2728,11,9990
743,Super Micro Computer,3557,0.07,112,0.33,2242,1963,50,4155
744,Flowserve,3541,0.05,126,0.03,4750,4681,101,16000
745,Charles River Laboratories International,3540,0.21,391,0.07,7024,14425,15,19300
746,A.O. Smith,3539,0.22,487,0.41,3474,10032,21,13700
747,New Residential Investment,3533,5.13,772,0.00,39742,5125,0,12296
748,Medical Mutual of Ohio,3515,0.00,78,0.22,2646,0,81,2834
749,Granite Construction,3502,0.02,10,0.00,2495,1505,86,2600
750,Valmont Industries,3502,0.21,196,0.39,3447,5083,16,11041
751,Sprague Resources,3498,0.50,69,3.04,1418,434,135,757
752,Primoris Services,3498,0.00,116,0.10,2543,1270,79,10810
753,Cboe Global Markets,3495,0.02,529,0.13,6815,12148,74,1196
754,Carter's,3486,0.15,340,2.10,3202,3763,9,15900
755,TopBuild,3486,0.28,324,0.31,4259,5987,40,13006
756,SiteOne Landscape Supply,3476,0.29,238,0.97,2116,7256,46,5475
757,Texas Roadhouse,3464,0.44,245,6.85,2512,5788,103,73300
758,Akamai Technologies,3461,0.08,652,0.17,8139,19210,47,8700
759,Acuity Brands,3461,0.04,306,0.23,3575,6629,63,13000
759,Brown0Forman,3461,0.03,903,0.09,6522,31377,70,4700
761,Navient,3454,0.07,717,0.74,80605,2592,117,5263
762,Coterra Energy,3449,1.35,1158,4.78,19900,21872,0,936
763,Option Care Health,3439,0.13,140,0.00,2791,5139,19,6334
764,Floor & Decor Holdings,3434,0.42,283,0.45,3731,8574,92,9276
765,Public Storage,3416,0.17,1953,0.44,17381,68438,3,5800
766,Cabot,3409,0.30,250,0.00,3306,3871,47,4500
767,Crane Holdings,3408,0.16,435,1.41,4487,6159,10,11000
768,Atmos Energy,3408,0.21,666,0.11,19609,16183,10,4684
769,Selective Insurance Group,3379,0.16,404,0.64,10461,5392,8,2440
770,Take0Two Interactive Software,3373,0.09,589,0.46,6028,17744,40,6495
771,Boyd Gaming,3370,0.55,464,0.00,6224,7234,145,15114
772,Plexus,3369,0.01,139,0.18,2462,2299,87,19200
773,ScanSource,3364,0.07,11,0.00,1672,891,118,2200
774,Franchise Group,3363,0.56,364,13.51,3913,1670,150,11895
775,NLV Financial,3351,0.30,392,1.03,41942,0,48,1157
776,CrossAmerica Partners,3351,0.87,22,0.80,1270,827,0,2218
777,Mr. Cooper Group,3344,0.22,1454,3.77,14204,3369,15,8200
778,Fortinet,3342,0.29,607,0.24,5919,54957,38,10195
779,Brinker International,3338,0.08,132,4.39,2275,1702,43,59491
780,Albemarle,3328,0.06,124,0.67,10974,25899,57,6000
781,Peabody Energy,3318,0.15,360,0.00,4950,3392,9,4900
782,Light & Wonder,3310,0.22,371,0.00,7883,5680,12,5600
783,Evercore,3307,0.45,740,1.11,3803,4275,116,1940
784,Stewart Information Services,3306,0.45,323,1.09,2813,1635,114,7300
785,Central Garden & Pet,3304,0.23,152,0.26,3117,2287,19,6750
786,GMS,3299,0.02,106,3.52,2484,2142,83,5843
787,H.B. Fuller,3278,0.18,161,0.31,4275,3505,1,6500
788,Middleby,3251,0.29,489,1.36,6384,8961,49,10624
789,Renewable Energy Group,3244,0.52,214,0.74,2559,3056,139,1196
790,MSC Industrial Direct,3243,0.02,217,0.14,2462,4758,78,6472
791,Vishay Intertechnology,3241,0.30,298,1.42,3543,2840,49,22800
792,Applied Industrial Technologies,3236,0.00,145,5.02,2272,3948,91,5947
793,Lincoln Electric Holdings,3234,0.22,277,0.34,2592,8079,16,11000
794,First Horizon,3234,0.05,999,0.18,89092,12543,108,7676
795,Spirit Airlines,3231,0.79,473,0.00,8540,2375,0,9823
796,AptarGroup,3227,0.10,244,0.14,4141,7703,37,13000
797,Citrix Systems,3217,0.01,308,0.39,6976,12705,90,9700
798,IDEXX Laboratories,3215,0.19,745,0.28,2437,46089,2,10350
799,Tetra Tech,3214,0.07,233,0.34,2577,8907,51,21000
800,Lyft,3208,0.36,1009,0.00,4774,13385,75,4453
801,Gannett,3208,0.06,135,0.00,2828,644,118,16300
802,ResMed,3197,0.08,475,0.24,4728,35463,51,7970
803,Designer Brands,3197,0.43,155,0.00,2015,991,104,13500
804,Graham Holdings,3186,0.10,352,0.17,7426,3001,36,15048
805,Vroom,3184,1.35,371,0.00,2367,365,0,1807
806,Worthington Industries,3171,0.04,724,8.19,3373,2538,68,9000
807,Calumet Specialty Products Partners,3148,0.39,260,0.00,2128,1071,96,1450
808,Xilinx,3148,0.01,647,0.18,5519,0,92,4890
809,TransUnion,3145,0.16,1387,3.04,12635,19883,13,10200
810,Travel + Leisure,3134,0.45,308,0.00,6588,4966,112,16800
811,Callaway Golf,3133,0.97,322,0.00,7748,4337,0,24800
812,Dycom Industries,3131,0.02,49,0.42,2118,2821,102,15024
813,Columbia Sportswear,3126,0.25,354,2.28,3067,5840,28,8325
814,II0VI,3106,0.31,298,0.00,6513,7708,54,22961
815,Change Healthcare,3090,14.70,112,0.00,10113,6799,0,15000
816,Grocery Outlet Holding,3080,0.02,62,0.42,2670,3148,94,875
817,AMC Networks,3078,0.09,251,0.04,5749,1722,38,1883
818,Hyster0Yale Materials Handling,3076,0.09,173,5.66,1970,561,36,8100
819,ChampionX,3075,0.62,113,0.00,3535,4977,167,7000
820,Comfort Systems USA,3074,0.08,143,0.05,2209,3201,44,13200
821,EQT,3065,0.00,1156,0.00,21607,12955,82,693
822,Brown & Brown,3051,0.17,587,0.22,9795,20396,8,12023
823,LGI Homes,3050,0.29,430,0.33,2352,2322,50,952
824,Hyatt Hotels,3028,0.47,222,0.00,12603,10498,122,44000
825,Comerica,3024,0.02,1168,1.46,94616,11854,96,7442
826,Energizer Holdings,3022,0.06,161,0.00,5008,2192,51,6000
827,Hill0Rom Holdings,3019,0.05,249,0.11,4999,0,54,10000
828,Rackspace Technology,3010,0.11,218,0.00,6329,2366,29,6600
829,Verisk Analytics,2999,0.08,666,0.07,7808,34616,41,9367
830,Spectrum Brands Holdings,2998,0.24,190,0.94,5340,3618,209,12100
831,Euronet Worldwide,2995,0.21,71,0.00,4744,6658,16,8800
832,TEGNA,2991,0.02,477,0.01,6918,4963,76,6200
833,Vontier,2991,0.11,413,0.21,4350,4088,32,8500
834,Cadence Design Systems,2988,0.11,696,0.18,4386,45782,29,9298
835,Incyte,2986,0.12,949,0.00,4933,17578,28,2094
836,Match Group,2983,0.25,278,1.16,5063,31007,28,2520
837,Valvoline,2981,0.27,420,0.33,3191,5661,43,9800
838,EnerSys,2978,0.04,143,0.05,3463,3076,107,11400
839,Avaya Holdings,2973,0.04,13,0.00,5985,1076,65,8063
840,UWM Holdings,2970,0.40,98,0.97,22528,7224,311,8000
841,Zions Bancorp.,2970,0.01,1129,1.10,93200,9958,87,9685
842,Quad/Graphics,2960,0.02,38,0.00,1890,389,96,15100
843,MKS Instruments,2950,0.27,551,0.58,4540,8328,45,6200
844,Arista Networks,2948,0.27,841,0.33,5734,42773,45,2993
845,Interactive Brokers Group,2938,0.19,308,0.58,109113,27962,3,2571
846,Range Resources,2930,0.49,412,0.00,6661,7964,120,527
847,Atkore,2928,0.66,588,2.86,2210,4416,0,3700
848,Cheesecake Factory,2928,0.48,72,0.00,2798,2099,111,45800
849,First Solar,2923,0.08,469,0.18,7414,8904,51,4800
850,Bio0Rad Laboratories,2923,0.15,4246,0.12,17776,16982,21,7900
851,Cooper Cos.,2923,0.20,2945,11.35,9606,20588,2,12000
852,Envista Holdings,2922,0.28,341,9.23,6574,7883,48,11200
853,Alight,2915,0.07,60,0.00,10988,5542,0,16000
854,Newmark Group,2906,0.53,751,8.38,5216,3010,129,6169
855,PC Connection,2893,0.12,70,0.25,1083,1376,38,2542
856,Host Hotels & Resorts,2890,0.78,11,0.00,12352,13876,0,160
857,Boston Properties,2889,0.04,505,0.42,22365,20180,67,743
858,Western Midstream Partners,2877,0.04,916,0.74,11273,10177,69,1127
859,Magellan Midstream Partners,2870,0.18,982,0.20,8030,10422,4,1715
860,Hillenbrand,2865,0.14,250,0.00,4015,3216,24,10500
861,Donaldson,2854,0.11,287,0.12,2400,6416,40,13100
862,Moog,2852,0.01,157,16.08,3433,2815,91,14000
863,Hawaiian Electric Industries,2850,0.11,246,0.24,15823,4630,41,3623
864,Five Below,2848,0.45,279,1.26,2881,8825,105,13150
865,Twilio,2842,0.61,950,0.00,12999,29917,0,7867
866,Univision Communciations,2841,0.12,134,0.00,14055,0,36,0
867,Annaly Capital Management,2836,11.89,2390,0.00,76764,10281,0,171
868,Fleetcor Technologies,2834,0.19,840,0.19,13405,19398,3,9700
869,West Pharmaceutical Services,2832,0.32,662,0.91,3314,30508,56,10065
870,Green Plains,2827,0.47,66,0.00,2160,1663,107,859
871,Cracker Barrel Old Country Store,2821,0.12,255,0.00,2392,2758,38,70000
872,Virtu Financial,2812,0.13,477,0.27,10320,6622,168,973
873,Teleflex,2810,0.11,485,0.45,6872,16642,41,14000
874,Zynga,2801,0.42,104,0.00,6359,10464,89,2952
875,ATI,2800,0.06,38,0.00,4285,3351,126,6300
876,AppLovin,2793,0.93,35,0.00,6164,20697,0,1594
877,Waters,2786,0.18,693,0.33,3095,18783,3,7800
878,Mutual of America Life Insurance,2785,0.84,51,0.00,28325,0,0,1146
879,Hovnanian Enterprises,2783,0.19,608,10.94,2321,372,6,1784
880,Amica Mutual Insurance,2778,0.02,117,0.36,6937,0,87,3510
881,Caleres,2778,0.31,137,0.00,1844,728,54,7200
882,FTI Consulting,2776,0.13,235,0.12,3101,5400,30,6780
883,Overstock.com,2774,0.09,389,5.95,1066,1898,56,1350
884,Visteon,2773,0.09,41,0.00,2234,3056,56,10000
885,G0III Apparel Group,2767,0.35,201,7.52,2743,1296,64,3250
886,ITT,2765,0.12,316,3.36,3565,6415,37,9900
887,IDEX,2765,0.18,449,0.19,4917,14592,6,7536
888,Popular,2765,0.06,935,0.85,75098,6252,73,8351
889,Roku,2765,0.56,242,0.00,4082,16949,0,3000
890,Schnitzer Steel Industries,2759,0.61,165,0.00,1494,1445,0,3167
891,Brookdale Senior Living,2758,0.22,99,2.21,6411,1308,226,28545
892,Werner Enterprises,2734,0.15,259,0.53,2604,2698,21,13525
893,Americold Realty Trust,2715,0.37,31,2.24,8216,7490,64,16275
894,SkyWest,2714,0.28,112,0.00,7126,1458,36,15205
895,Primerica,2710,0.22,373,0.03,16123,5327,14,3170
896,McAfee,2701,0.07,849,0.00,3422,0,132,2262
897,Nu Skin Enterprises,2696,0.04,147,0.23,1907,2386,77,19600
898,Copart,2693,0.22,937,0.34,4562,29799,12,8600
899,PROG Holdings,2678,0.08,244,0.00,1622,1587,53,2023
900,Splunk,2674,0.20,1339,0.00,5791,23882,8,7000
901,MRC Global,2666,0.04,14,0.00,1671,995,75,2600
902,Stericycle,2647,0.01,28,0.00,5473,5416,96,15465
903,Maxim Integrated Products,2633,0.20,827,0.26,4523,0,9,7100
904,Ensign Group,2628,0.09,195,0.14,2851,4958,45,25900
905,SM Energy,2623,1.33,36,0.00,5234,4747,0,506
906,Kaiser Aluminum,2622,1.24,19,1.64,2422,1494,0,3957
907,Federated Mutual Insurance,2612,0.14,320,0.62,10537,0,10,2702
908,F5,2603,0.11,331,0.08,4997,12691,26,6429
909,Steelcase,2596,0.30,26,0.87,2354,1340,264,11400
910,Encore Wire,2593,1.03,541,6.12,1531,2250,0,1440
911,Guess,2592,0.38,171,0.00,2556,1306,79,12500
912,Playtika Holding,2583,0.09,309,2.35,2803,7966,40,4000
913,Pinterest,2578,0.52,316,0.00,3537,16197,0,3225
914,WeWork,2570,0.25,4439,0.00,21756,4937,0,4400
915,ManTech International,2554,0.01,137,0.14,2640,3518,80,9800
916,BrightView Holdings,2554,0.09,46,0.00,3238,1352,32,20150
917,NortonLifeLock,2552,0.34,554,0.86,6361,15442,286,2800
918,Deckers Outdoor,2546,0.19,383,0.39,2168,7458,11,3400
919,Griffon,2542,0.06,79,0.48,2605,1128,61,6700
920,AMC Entertainment Holdings,2528,1.04,1269,0.00,10822,12733,0,17122
921,Curtiss0Wright,2506,0.05,267,0.33,4104,5771,58,7800
922,MYR Group,2498,0.11,85,0.45,1121,1595,16,7600
923,Kontoor Brands,2476,0.00,195,0.00,1533,2325,0,14000
924,Liberty Energy,2471,1.56,179,0.00,2041,2758,0,3601
925,Knights of Columbus,2468,0.05,130,0.37,28838,0,47,749
926,AdaptHealth,2465,1.33,156,0.00,5251,2147,0,10700
927,MillerKnoll,2465,0.01,173,0.00,2062,2618,84,7600
928,Equity Residential,2464,0.04,1333,0.46,21169,33803,104,2400
929,DexCom,2449,0.27,155,0.69,4864,49825,47,6650
930,Rollins,2424,0.12,351,0.35,1981,17261,9,16482
931,Genesco,2422,0.36,115,0.00,1562,869,0,11700
932,Bruker,2418,0.22,277,0.76,3650,9695,26,7765
933,Joann,2418,0.13,57,0.73,2362,463,142,13530
934,Wolverine World Wide,2415,0.35,69,0.00,2586,1836,0,4400
935,Gray Television,2413,0.01,90,0.78,11108,2093,68,8801
936,Affiliated Managers Group,2412,0.19,566,1.80,8876,5607,15,4050
937,Summit Materials,2410,0.03,152,0.10,4239,3688,50,5500
938,SLM,2409,0.02,1161,0.32,29222,5130,59,1450
939,Belden,2408,0.22,64,0.00,3418,2493,25,7400
940,Allison Transmission Holdings,2402,0.15,442,0.48,4457,3811,3,3400
941,Element Solutions,2400,0.30,203,1.69,5138,5435,0,5300
942,Portland General Electric,2396,0.12,244,0.57,9494,4940,16,2839
943,REV Group,2381,0.05,44,0.00,1238,843,41,6800
944,Acadia Healthcare,2377,0.26,191,0.00,4768,5891,235,19200
945,Alexandria Real Estate Equities,2374,0.03,571,0.26,30219,32189,55,559
946,Nordson,2362,0.11,454,0.82,3791,13157,12,6813
947,NewMarket,2356,0.17,191,0.29,2558,3347,7,2104
948,Ohio National Mutual,2347,0.08,85,"1,774.96",40795,0,34,1082
949,Stepan,2346,0.26,138,0.09,2066,2216,43,2439
950,Valhi,2335,0.24,127,1.30,3005,829,39,2847
951,Hilton Grand Vacations,2335,1.61,176,0.00,8008,6248,0,13000
952,Cooper0Standard Holdings,2330,0.02,323,0.00,2227,149,82,21300
953,Etsy,2329,0.35,494,0.41,3832,15788,0,2402
954,Crocs,2313,0.67,726,1.32,1545,4676,0,5770
955,Olympic Steel,2312,0.87,121,0.00,1024,428,0,1642
956,Signature Bank,2311,0.15,918,0.74,118445,18417,0,1854
957,SBA Communications,2309,0.11,238,8.86,9802,37169,15,1596
958,Murphy Oil,2300,0.17,74,0.00,10305,6275,7,696
959,Entegris,2299,0.24,409,0.39,3192,17831,38,6850
960,AvalonBay Communities,2295,0.00,1004,0.21,19902,34710,64,2883
961,Saia,2289,0.26,253,0.83,1845,6438,0,11600
962,E.W. Scripps,2284,0.19,123,0.54,6658,1718,17,5600
963,TTEC Holdings,2273,0.17,141,0.19,1997,3878,11,65000
964,Sun Communities,2273,0.63,380,1.89,13494,20373,0,5455
965,Alpha Metallurgical Resources,2259,0.37,289,0.00,1858,2448,0,3500
966,GEO Group,2257,0.04,77,0.32,4537,810,83,15800
967,Viasat,2256,0.02,4,0.00,5350,3630,75,5800
968,Benchmark Electronics,2255,0.10,36,1.55,1904,881,18,10900
969,Kar Auction Services,2252,0.03,67,132.00,7417,2187,56,8928
970,TTM Technologies,2249,0.00,54,0.69,3026,1506,65,16100
971,Kirby,2247,0.04,247,0.00,5399,4346,51,5125
972,Woodward,2246,0.10,209,0.13,4091,7882,130,7200
973,Clear Channel Outdoor Holdings,2241,0.21,434,0.00,5299,1631,27,4600
974,Spire,2236,0.21,272,2.07,9356,3714,25,3710
975,Vista Outdoor,2226,0.27,266,0.00,1765,2008,0,5900
976,Surgery Partners,2225,0.20,71,0.00,6118,4919,20,9600
977,LHC Group,2220,0.08,116,0.04,2896,5230,30,23000
978,Amedisys,2214,0.07,209,0.14,1857,5604,39,21000
979,Century Aluminum,2213,0.38,167,0.00,1570,2400,0,2512
980,Arch Resources,2208,0.51,338,0.00,2117,2126,0,3303
981,Aerojet Rocketdyne Holdings,2188,0.06,144,0.04,2434,3169,36,5000
982,Sleep Number,2185,0.18,154,0.11,920,1124,16,5388
983,HNI,2184,0.12,60,0.43,1498,1569,12,8000
984,Pure Storage,2181,0.30,143,0.00,3135,10238,0,4200
985,TrueBlue,2174,0.18,62,0.00,1033,996,0,6400
986,Party City Holdco,2171,0.17,7,0.00,2712,403,0,11450
987,Dun & Bradstreet Holdings,2166,0.25,72,0.00,9997,7554,0,6296
988,Dropbox,2158,0.13,336,0.00,3091,8874,8,2667
989,New Jersey Resources,2157,0.10,118,0.39,5722,4405,17,1251
990,Acushnet Holdings,2148,0.33,179,0.86,2006,2914,0,6500
991,Harsco,2147,0.15,3,0.00,3054,970,0,12000
992,Beazer Homes USA,2140,0.01,122,1.34,2079,479,61,1052
993,Chemed,2139,0.03,269,0.16,1343,7593,49,14137
994,Genesis Energy,2126,0.17,165,0.00,5906,1435,0,1898
995,BWX Technologies,2124,0.00,306,0.10,2501,4926,63,6600
996,Vizio Holding,2124,0.04,39,1.38,936,1705,0,800
997,108000Flowers.com,2122,0.43,119,1.01,1077,830,0,4800
998,Cowen,2113,0.30,296,0.37,8749,744,0,1534
999,Ashland Global Holdings,2111,0.11,220,0.00,6612,5602,130,4100
"1,000",DocuSign,2107,0.45,70,0.00,2541,21303,0,7461